name,team,sim_pitcher_1,sim_score_1,sim_pitcher_2,sim_score_2,sim_pitcher_3,sim_score_3
Nick Tropeano,Pirates,Jeremy Jeffress,780,Tyler Clippard,751,Touki Toussaint,745
Jesse Chavez,Rangers,Aaron Loup,971,Yimi Garcia,956,Erasmo Ramirez,945
Jakob Junis,Royals,Steve Cishek,974,Paul Fry,967,Cody Stashak,967
Stephen Tarpley,Marlins,Oliver Perez,927,Keury Mella,898,Yoan Lopez,860
Wes Benjamin,Rangers,Derek Holland,973,Triston McKenzie,972,Danny Duffy,969
Asher Wojciechowski,Orioles,Chris Mazza,949,T.J. Zeuch,934,Jesse Chavez,930
Alex Young,Diamondbacks,Walker Lockett,972,Merrill Kelly,942,Chase Anderson,937
Trevor Cahill,Giants,Kyle Freeland,942,Ross Stripling,918,Zack Greinke,914
J.A. Happ,Yankees,Jordan Weems,934,Javy Guerra,927,Tyler Mahle,919
Shun Yamaguchi,Blue Jays,Matt Shoemaker,930,Tony Gonsolin,886,Chasen Shreve,859
Dakota Bacus,Nationals,Will Smith,922,Brad Hand,920,Dellin Betances,880
Tanner Roark,Blue Jays,Humberto Castellanos,952,Daniel Mengden,949,Luis Garcia,940
Blake Parker,Phillies,Jeremy Jeffress,866,Hector Neris,789,Oliver Drake,746
Tim Hill,Padres,Scott Alexander,893,Jake McGee,888,Zack Britton,879
Jeff Samardzija,Giants,Josh Lindblom,853,Jake Odorizzi,847,Yusei Kikuchi,797
Mike Minor,- - -,Steven Brault,977,David Peterson,967,Matthew Boyd,965
Tyler Alexander,Tigers,Asher Wojciechowski,919,T.J. Zeuch,908,Yimi Garcia,907
Grant Dayton,Braves,Matt Barnes,923,Corey Knebel,897,Framber Valdez,888
Josh Fleming,Rays,Rick Porcello,977,David Peterson,975,Trevor Williams,966
Trevor Richards,Rays,David Hale,979,Daniel Castano,954,Cole Sulser,946
Erasmo Ramirez,Mets,Aaron Loup,954,Jesse Chavez,945,Yimi Garcia,935
Sean Manaea,Athletics,Johnny Cueto,941,Ryan Weber,928,Brett Anderson,927
Rick Porcello,Mets,Trevor Williams,981,Josh Fleming,977,Caleb Smith,974
Steve Cishek,White Sox,Jakob Junis,974,Giovanny Gallegos,968,Jake Newberry,964
Brad Brach,Mets,Dallas Keuchel,962,Ryan Yarbrough,910,Erasmo Ramirez,910
Josh A. Smith,Marlins,Aaron Civale,889,Shane Bieber,870,Jordan Yamamoto,853
Andrew Miller,Cardinals,Sam Selman,996,Nick Goody,983,Amir Garrett,950
Tyler Anderson,Giants,Zach Davies,939,Michael Wacha,939,Luke Weaver,926
Patrick Corbin,Nationals,Rick Porcello,937,Nate Pearson,926,Josh Fleming,925
Wade Miley,Reds,Wade LeBlanc,861,Brooks Raley,854,Aaron Civale,826
Dylan Bundy,Angels,Patrick Sandoval,960,Zach Plesac,956,Derek Holland,955
Brooks Raley,- - -,Aaron Civale,886,Corbin Burnes,878,Wade Miley,854
Tyler Webb,Cardinals,Cole Sulser,956,Trevor Rogers,954,T.J. McFarland,952
Daniel Mengden,Athletics,Humberto Castellanos,987,Ryan Weber,962,Brandon Bielak,956
Josh Lindblom,Brewers,Jake Odorizzi,893,Yu Darvish,855,Jeff Samardzija,853
Brady Lail,- - -,Ryan Castellani,978,Ross Stripling,964,Danny Duffy,962
Wander Suero,Nationals,Josh Tomlin,755,Mark Melancon,740,Anthony Misiewicz,702
Nick Margevicius,Mariners,Javy Guerra,899,Kwang-hyun Kim,898,Wilmer Font,884
Alec Mills,Cubs,Deivi Garcia,978,Keegan Akin,967,Danny Duffy,953
Humberto Castellanos,Astros,Daniel Mengden,987,Ryan Weber,970,Brandon Bielak,952
Oliver Perez,Indians,Stephen Tarpley,927,Yoan Lopez,888,Keury Mella,870
Yoshihisa Hirano,Mariners,Hector Neris,872,Chasen Shreve,788,Oliver Drake,741
Kwang-hyun Kim,Cardinals,Nick Margevicius,898,Tyler Mahle,870,Taijuan Walker,860
Gio Gonzalez,White Sox,Jordan Montgomery,947,Rico Garcia,915,Pablo Lopez,906
Tony Watson,Giants,Phillips Valdez,951,Alex Claudio,920,Devin Williams,913
